dav-52390.txt,Harry Potter,[26 - 38],PERSON-NAM-SPC-OTHER-PERSON
dav-52390.txt,IGFA,[177 - 181],ORGANIZATION-NONE-SPC-OTHER-ORGANIZATION
dav-52390.txt,Amintore Fanfani,[225 - 241],PERSON-NAM-SPC-OTHER-PERSON
dav-52390.txt,Le Corbusier,[272 - 284],PERSON-NAM-SPC-OTHER-PERSON
dav-52390.txt,Flaubert,[331 - 339],PERSON-NAM-SPC-OTHER-PERSON
dav-52390.txt,"Bouvard e Pécuchet",[362 - 380],TITLEWORK-NONE-SPC-OTHER-TITLEWORK
dav-52390.txt,"Revolução de Veludo",[426 - 445],EVENTO-NONE-SPC-OTHER-EVENTO
dav-52390.txt,"Revolução dos Cravos",[463 - 483],EVENTO-NONE-SPC-OTHER-EVENTO
dav-52390.txt,"António de Oliveira Salazar",[498 - 525],PERSON-NAM-SPC-OTHER-PERSON
dav-52390.txt,"Grândola, Vila Morena",[553 - 574],TITLEWORK-NONE-SPC-OTHER-TITLEWORK
dav-52390.txt,Bender Bending Rodriguez,[600 - 624],PRODUCT-NONE-SPC-OTHER-PRODUCT
dav-52390.txt,Bender Bending Rodriguez,[600 - 624],LAW-NONE-SPC-OTHER-PRODUCT
dav-52390.txt,Bender Bending Rodriguez,[600 - 624],ORGANIZATION-NONE-SPC-OTHER-PRODUCT
dav-52390.txt,Bender Bending Rodriguez,[600 - 624],PRODUCT-NONE-SPC-OTHER-LAW
dav-52390.txt,Bender Bending Rodriguez,[600 - 624],LAW-NONE-SPC-OTHER-LAW
dav-52390.txt,Bender Bending Rodriguez,[600 - 624],ORGANIZATION-NONE-SPC-OTHER-LAW
dav-52390.txt,Bender Bending Rodriguez,[600 - 624],PRODUCT-NONE-SPC-OTHER-ORGANIZATION
dav-52390.txt,Bender Bending Rodriguez,[600 - 624],LAW-NONE-SPC-OTHER-ORGANIZATION
dav-52390.txt,Bender Bending Rodriguez,[600 - 624],ORGANIZATION-NONE-SPC-OTHER-ORGANIZATION
dav-52390.txt,Philip J. Fry,[637 - 650],PERSON-NAM-SPC-OTHER-PERSON
dav-52390.txt,Hermann Emil Fischer,[665 - 685],PERSON-NAM-SPC-OTHER-PERSON
dav-52390.txt,em 1902,[717 - 724],DATE-NONE-SPC-OTHER-DATE
dav-52390.txt,"Prémio Nobel da Literatura",[741 - 767],-NONE-SPC-OTHER-
dav-52390.txt,nesse ano,[768 - 777],DATE-NONE-SPC-OTHER-DATE
dav-52390.txt,Bertha von Suttner,[792 - 810],PERSON-NAM-SPC-OTHER-PERSON
dav-52390.txt,Marco Pantani,[825 - 838],PERSON-NAM-SPC-OTHER-PERSON
dav-52390.txt,Juan Manuel Fangio,[877 - 895],PERSON-NAM-SPC-OTHER-PERSON
dav-52390.txt,"Arca de Noé",[1074 - 1085],
dav-52390.txt,INTASAT,[1175 - 1182],ORGANIZATION-NONE-SPC-OTHER-ORGANIZATION
dav-52390.txt,INTASAT,[1175 - 1182],EVENTO-NONE-SPC-OTHER-EVENTO
dav-52390.txt,Rainbow Warrior,[1205 - 1220],PRODUCT-NONE-SPC-OTHER-PRODUCT
dav-52390.txt,Rainbow Warrior,[1205 - 1220],LAW-NONE-SPC-OTHER-PRODUCT
dav-52390.txt,Rainbow Warrior,[1205 - 1220],ORGANIZATION-NONE-SPC-OTHER-PRODUCT
dav-52390.txt,Rainbow Warrior,[1205 - 1220],PRODUCT-NONE-SPC-OTHER-LAW
dav-52390.txt,Rainbow Warrior,[1205 - 1220],LAW-NONE-SPC-OTHER-LAW
dav-52390.txt,Rainbow Warrior,[1205 - 1220],ORGANIZATION-NONE-SPC-OTHER-LAW
dav-52390.txt,Rainbow Warrior,[1205 - 1220],PRODUCT-NONE-SPC-OTHER-ORGANIZATION
dav-52390.txt,Rainbow Warrior,[1205 - 1220],LAW-NONE-SPC-OTHER-ORGANIZATION
dav-52390.txt,Rainbow Warrior,[1205 - 1220],ORGANIZATION-NONE-SPC-OTHER-ORGANIZATION
dav-52390.txt,em 1985,[1243 - 1250],DATE-NONE-SPC-OTHER-DATE
dav-52390.txt,INTELSAT,[1301 - 1309],ORGANIZATION-NONE-SPC-OTHER-ORGANIZATION
dav-52390.txt,INTELSAT,[1301 - 1309],EVENTO-NONE-SPC-OTHER-EVENTO
dav-52390.txt,"Organização Não-Governamental",[1327 - 1356],-NONE-SPC-OTHER-
dav-52390.txt,"Organização Não-Governamental",[1327 - 1356],ORGANIZATION-NONE-SPC-OTHER-ORGANIZATION
