ric-30606.txt,Ontem,[85 - 90],DATE-NONE-SPC-OTHER-DATE
ric-30606.txt,das 19h,[311 - 318],TIME-NONE-SPC-OTHER-TIME
ric-30606.txt,"Espaço de Cinema",[322 - 338],GPE-NONE-SPC-FACILITY-GPE
ric-30606.txt,Botafogo,[342 - 350],GPE-NAM-SPC-OTHER-GPE
ric-30606.txt,Tropa de Elite,[411 - 425],EVENTO-NONE-SPC-OTHER-EVENTO
ric-30606.txt,"desde o início da semana",[461 - 485],DATE-NONE-SPC-OTHER-DATE
ric-30606.txt,Rio,[519 - 522],GPE-NAM-SPC-OTHER-GPE
ric-30606.txt,"Xuxa Gêmeas",[847 - 858],TITLEWORK-NONE-SPC-OTHER-TITLEWORK
ric-30606.txt,"Ó paí ó",[861 - 868],TITLEWORK-NONE-SPC-OTHER-TITLEWORK
ric-30606.txt,Tropa de Elite,[894 - 908],TITLEWORK-NONE-SPC-OTHER-TITLEWORK
ric-30606.txt,Billabong,[974 - 983],PRODUCT-NONE-SPC-OTHER-PRODUCT
ric-30606.txt,Billabong,[974 - 983],LAW-NONE-SPC-OTHER-PRODUCT
ric-30606.txt,Billabong,[974 - 983],ORGANIZATION-NONE-SPC-OTHER-PRODUCT
ric-30606.txt,Billabong,[974 - 983],PRODUCT-NONE-SPC-OTHER-LAW
ric-30606.txt,Billabong,[974 - 983],LAW-NONE-SPC-OTHER-LAW
ric-30606.txt,Billabong,[974 - 983],ORGANIZATION-NONE-SPC-OTHER-LAW
ric-30606.txt,Billabong,[974 - 983],PRODUCT-NONE-SPC-OTHER-ORGANIZATION
ric-30606.txt,Billabong,[974 - 983],LAW-NONE-SPC-OTHER-ORGANIZATION
ric-30606.txt,Billabong,[974 - 983],ORGANIZATION-NONE-SPC-OTHER-ORGANIZATION
ric-30606.txt,"Chapéu Mangueira",[1187 - 1203],GPE-NONE-SPC-OTHER-GPE
ric-30606.txt,"Chapéu Mangueira",[1187 - 1203],GPE-NAM-SPC-OTHER-GPE
ric-30606.txt,Olavo,[1234 - 1239],PERSON-NAM-SPC-OTHER-PERSON
ric-30606.txt,Olavo,[1261 - 1266],PERSON-NAM-SPC-OTHER-PERSON
ric-30606.txt,Wagner,[1276 - 1282],PERSON-NAM-SPC-OTHER-PERSON
ric-30606.txt,Wagner Moura,[1284 - 1296],PERSON-NAM-SPC-OTHER-PERSON
