dav-844651.txt,em 1291,[37 - 44],DATE-NONE-SPC-OTHER-DATE
dav-844651.txt,a 4 de Julho de 1776,[66 - 86],DATE-NONE-SPC-OTHER-DATE
dav-844651.txt,2 filhos de Francisco,[115 - 136],TITLEWORK-NONE-SPC-OTHER-TITLEWORK
dav-844651.txt,Roma,[172 - 176],GPE-NAM-SPC-OTHER-GPE
dav-844651.txt,Adhemar de Barros,[308 - 325],PERSON-NAM-SPC-OTHER-PERSON
dav-844651.txt,Ariane,[384 - 390],PRODUCT-NONE-SPC-OTHER-PRODUCT
dav-844651.txt,Ariane,[384 - 390],LAW-NONE-SPC-OTHER-PRODUCT
dav-844651.txt,Ariane,[384 - 390],ORGANIZATION-NONE-SPC-OTHER-PRODUCT
dav-844651.txt,Ariane,[384 - 390],PRODUCT-NONE-SPC-OTHER-LAW
dav-844651.txt,Ariane,[384 - 390],LAW-NONE-SPC-OTHER-LAW
dav-844651.txt,Ariane,[384 - 390],ORGANIZATION-NONE-SPC-OTHER-LAW
dav-844651.txt,Ariane,[384 - 390],PRODUCT-NONE-SPC-OTHER-ORGANIZATION
dav-844651.txt,Ariane,[384 - 390],LAW-NONE-SPC-OTHER-ORGANIZATION
dav-844651.txt,Ariane,[384 - 390],ORGANIZATION-NONE-SPC-OTHER-ORGANIZATION
dav-844651.txt,Bolonha,[447 - 454],GPE-NAM-SPC-OTHER-GPE
dav-844651.txt,Boaventura Kloppenburg,[467 - 489],PERSON-NAM-SPC-OTHER-PERSON
dav-844651.txt,Brasil,[573 - 579],GPE-NONE-SPC-COUNTRY-GPE
dav-844651.txt,"Líbano",[616 - 622],GPE-NONE-SPC-COUNTRY-GPE
dav-844651.txt,Barack Obama,[653 - 665],PERSON-NAM-SPC-OTHER-PERSON
dav-844651.txt,"Ao vencedor, as batatas!",[762 - 786],-NONE-SPC-OTHER-
dav-844651.txt,rainha da Dinamarca,[822 - 841],PERSON-NONE-SPC-OTHER-OCCUPATION
dav-844651.txt,Dinamarca,[833 - 842],GPE-NONE-SPC-COUNTRY-GPE
dav-844651.txt,Dinamarca,[833 - 842],ORGANIZATION-NONE-SPC-GOVERNAMENTAL-ORGANIZATION
dav-844651.txt,Dinamarca,[833 - 842],ORGANIZATION-NONE-SPC-MUTIGOV-ORGANIZATION
dav-844651.txt,Dinamarca,[833 - 842],ORGANIZATION-NONE-SPC-POLITICAL-ORGANIZATION
dav-844651.txt,Porto,[876 - 881],PERSONPEOPLE-NONE-SPC-OTHER-PERSONPEOPLE
dav-844651.txt,Braga,[901 - 906],GPE-NAM-SPC-OTHER-GPE
dav-844651.txt,Caen,[950 - 954],GPE-NAM-SPC-OTHER-GPE
dav-844651.txt,Cayenne,[1030 - 1037],-NAM-SPC-OTHER-
dav-844651.txt,Camarate,[1098 - 1106],GPE-NAM-SPC-OTHER-GPE
dav-844651.txt,Brasil,[1138 - 1144],GPE-NONE-SPC-COUNTRY-GPE
dav-844651.txt,"Brasília",[1183 - 1191],GPE-NAM-SPC-OTHER-GPE
dav-844651.txt,em 1718,[1212 - 1219],DATE-NONE-SPC-OTHER-DATE
dav-844651.txt,Papas,[1299 - 1304],PEOPLE-NONE-SPC-OTHER-OCCUPATION
dav-844651.txt,Nacional da Madeira,[1331 - 1350],ORGANIZATION-NONE-SPC-OTHER-ORGANIZATION
dav-844651.txt,Ceres,[1381 - 1386],PRODUCT-NONE-SPC-OTHER-PRODUCT
dav-844651.txt,Ceres,[1381 - 1386],LAW-NONE-SPC-OTHER-PRODUCT
dav-844651.txt,Ceres,[1381 - 1386],ORGANIZATION-NONE-SPC-OTHER-PRODUCT
dav-844651.txt,Ceres,[1381 - 1386],PRODUCT-NONE-SPC-OTHER-LAW
dav-844651.txt,Ceres,[1381 - 1386],LAW-NONE-SPC-OTHER-LAW
dav-844651.txt,Ceres,[1381 - 1386],ORGANIZATION-NONE-SPC-OTHER-LAW
dav-844651.txt,Ceres,[1381 - 1386],PRODUCT-NONE-SPC-OTHER-ORGANIZATION
dav-844651.txt,Ceres,[1381 - 1386],LAW-NONE-SPC-OTHER-ORGANIZATION
dav-844651.txt,Ceres,[1381 - 1386],ORGANIZATION-NONE-SPC-OTHER-ORGANIZATION
dav-844651.txt,Chaves,[1447 - 1453],GPE-NAM-SPC-OTHER-GPE
dav-844651.txt,em 2006,[1545 - 1552],DATE-NONE-SPC-OTHER-DATE
dav-844651.txt,Alemanha,[1589 - 1597],GPE-NONE-SPC-COUNTRY-GPE
dav-844651.txt,Cisne Branco,[1658 - 1670],PRODUCT-NONE-SPC-OTHER-PRODUCT
dav-844651.txt,Cisne Branco,[1658 - 1670],LAW-NONE-SPC-OTHER-PRODUCT
dav-844651.txt,Cisne Branco,[1658 - 1670],ORGANIZATION-NONE-SPC-OTHER-PRODUCT
dav-844651.txt,Cisne Branco,[1658 - 1670],PRODUCT-NONE-SPC-OTHER-LAW
dav-844651.txt,Cisne Branco,[1658 - 1670],LAW-NONE-SPC-OTHER-LAW
dav-844651.txt,Cisne Branco,[1658 - 1670],ORGANIZATION-NONE-SPC-OTHER-LAW
dav-844651.txt,Cisne Branco,[1658 - 1670],PRODUCT-NONE-SPC-OTHER-ORGANIZATION
dav-844651.txt,Cisne Branco,[1658 - 1670],LAW-NONE-SPC-OTHER-ORGANIZATION
dav-844651.txt,Cisne Branco,[1658 - 1670],ORGANIZATION-NONE-SPC-OTHER-ORGANIZATION
dav-844651.txt,Cisne Branco,[1658 - 1670],ORGANIZATION-NONE-SPC-COMMERCIAL-ORGANIZATION
