ric-19806.txt,"Doença de Chagas",[3 - 19],DISEASE-NONE-SPC-OTHER-DISEASE
ric-19806.txt,Carlos Chagas,[56 - 69],PERSON-NAM-SPC-OTHER-PERSON
ric-19806.txt,"doença de Chagas",[73 - 89],DISEASE-NONE-SPC-OTHER-DISEASE
ric-19806.txt,Carlos Justiniano Ribeiro das Chagas,[157 - 193],PERSON-NAM-SPC-OTHER-PERSON
ric-19806.txt,Carlos Chagas,[196 - 209],PERSON-NAM-SPC-OTHER-PERSON
ric-19806.txt,em 1909,[212 - 219],DATE-NONE-SPC-OTHER-DATE
ric-19806.txt,Carlos Chagas,[312 - 325],PERSON-NAM-SPC-OTHER-PERSON
ric-19806.txt,Estrada de Ferro Central do Brasil,[418 - 452],GPE-NONE-SPC-FACILITY-GPE
ric-19806.txt,Estrada de Ferro Central,[419 - 443],GPE-NONE-SPC-FACILITY-GPE
ric-19806.txt,Brasil,[447 - 453],GPE-NONE-SPC-COUNTRY-GPE
ric-19806.txt,Minas Gerais,[467 - 479],GPE-NAM-SPC-OTHER-GPE
ric-19806.txt,Carlos Chagas,[725 - 738],PERSON-NAM-SPC-OTHER-PERSON
ric-19806.txt,"doença de Chagas",[1025 - 1041],DISEASE-NONE-SPC-OTHER-DISEASE
ric-19806.txt,Estados Unidos,[1392 - 1406],GPE-NONE-SPC-COUNTRY-GPE
ric-19806.txt,Argentina,[1413 - 1422],GPE-NONE-SPC-COUNTRY-GPE
ric-19806.txt,Insecta,[1469 - 1476],PRODUCT-NONE-SPC-OTHER-PRODUCT
ric-19806.txt,Insecta,[1469 - 1476],LAW-NONE-SPC-OTHER-PRODUCT
ric-19806.txt,Insecta,[1469 - 1476],ORGANIZATION-NONE-SPC-OTHER-PRODUCT
ric-19806.txt,Insecta,[1469 - 1476],PRODUCT-NONE-SPC-OTHER-LAW
ric-19806.txt,Insecta,[1469 - 1476],LAW-NONE-SPC-OTHER-LAW
ric-19806.txt,Insecta,[1469 - 1476],ORGANIZATION-NONE-SPC-OTHER-LAW
ric-19806.txt,Insecta,[1469 - 1476],PRODUCT-NONE-SPC-OTHER-ORGANIZATION
ric-19806.txt,Insecta,[1469 - 1476],LAW-NONE-SPC-OTHER-ORGANIZATION
ric-19806.txt,Insecta,[1469 - 1476],ORGANIZATION-NONE-SPC-OTHER-ORGANIZATION
ric-19806.txt,Hemiptera,[1484 - 1493],PRODUCT-NONE-SPC-OTHER-PRODUCT
ric-19806.txt,Hemiptera,[1484 - 1493],LAW-NONE-SPC-OTHER-PRODUCT
ric-19806.txt,Hemiptera,[1484 - 1493],ORGANIZATION-NONE-SPC-OTHER-PRODUCT
ric-19806.txt,Hemiptera,[1484 - 1493],PRODUCT-NONE-SPC-OTHER-LAW
ric-19806.txt,Hemiptera,[1484 - 1493],LAW-NONE-SPC-OTHER-LAW
ric-19806.txt,Hemiptera,[1484 - 1493],ORGANIZATION-NONE-SPC-OTHER-LAW
ric-19806.txt,Hemiptera,[1484 - 1493],PRODUCT-NONE-SPC-OTHER-ORGANIZATION
ric-19806.txt,Hemiptera,[1484 - 1493],LAW-NONE-SPC-OTHER-ORGANIZATION
ric-19806.txt,Hemiptera,[1484 - 1493],ORGANIZATION-NONE-SPC-OTHER-ORGANIZATION
ric-19806.txt,Reduviidae,[1503 - 1513],PRODUCT-NONE-SPC-OTHER-PRODUCT
ric-19806.txt,Reduviidae,[1503 - 1513],LAW-NONE-SPC-OTHER-PRODUCT
ric-19806.txt,Reduviidae,[1503 - 1513],ORGANIZATION-NONE-SPC-OTHER-PRODUCT
ric-19806.txt,Reduviidae,[1503 - 1513],PRODUCT-NONE-SPC-OTHER-LAW
ric-19806.txt,Reduviidae,[1503 - 1513],LAW-NONE-SPC-OTHER-LAW
ric-19806.txt,Reduviidae,[1503 - 1513],ORGANIZATION-NONE-SPC-OTHER-LAW
ric-19806.txt,Reduviidae,[1503 - 1513],PRODUCT-NONE-SPC-OTHER-ORGANIZATION
ric-19806.txt,Reduviidae,[1503 - 1513],LAW-NONE-SPC-OTHER-ORGANIZATION
ric-19806.txt,Reduviidae,[1503 - 1513],ORGANIZATION-NONE-SPC-OTHER-ORGANIZATION
ric-19806.txt,Triatominae,[1527 - 1538],PRODUCT-NONE-SPC-OTHER-PRODUCT
ric-19806.txt,Triatominae,[1527 - 1538],LAW-NONE-SPC-OTHER-PRODUCT
ric-19806.txt,Triatominae,[1527 - 1538],ORGANIZATION-NONE-SPC-OTHER-PRODUCT
ric-19806.txt,Triatominae,[1527 - 1538],PRODUCT-NONE-SPC-OTHER-LAW
ric-19806.txt,Triatominae,[1527 - 1538],LAW-NONE-SPC-OTHER-LAW
ric-19806.txt,Triatominae,[1527 - 1538],ORGANIZATION-NONE-SPC-OTHER-LAW
ric-19806.txt,Triatominae,[1527 - 1538],PRODUCT-NONE-SPC-OTHER-ORGANIZATION
ric-19806.txt,Triatominae,[1527 - 1538],LAW-NONE-SPC-OTHER-ORGANIZATION
