ric-58766.txt,Fim de ano,[3 - 13],TIME-NONE-SPC-OTHER-TIME
ric-58766.txt,Rio,[35 - 38],GPE-NAM-SPC-OTHER-GPE
ric-58766.txt,"nos últimos meses",[196 - 213],DATE-NONE-SPC-OTHER-DATE
ric-58766.txt,menos de R$ 60,[559 - 573],MONEY-NONE-SPC-OTHER-MONEY
ric-58766.txt,Belmonte,[712 - 720],GPE-NONE-SPC-FACILITY-GPE
ric-58766.txt,Belmonte,[712 - 720],ORGANIZATION-NONE-SPC-COMMERCIAL-ORGANIZATION
ric-58766.txt,Rua do Lavradio,[724 - 739],GPE-NONE-SPC-OTHER-GPE
ric-58766.txt,"R$ 8,50",[771 - 778],MONEY-NONE-SPC-OTHER-MONEY
ric-58766.txt,Johnny Walker Red Label,[811 - 834],PRODUCT-NONE-SPC-OTHER-PRODUCT
ric-58766.txt,Johnny Walker Red Label,[811 - 834],LAW-NONE-SPC-OTHER-PRODUCT
ric-58766.txt,Johnny Walker Red Label,[811 - 834],ORGANIZATION-NONE-SPC-OTHER-PRODUCT
ric-58766.txt,Johnny Walker Red Label,[811 - 834],PRODUCT-NONE-SPC-OTHER-LAW
ric-58766.txt,Johnny Walker Red Label,[811 - 834],LAW-NONE-SPC-OTHER-LAW
ric-58766.txt,Johnny Walker Red Label,[811 - 834],ORGANIZATION-NONE-SPC-OTHER-LAW
ric-58766.txt,Johnny Walker Red Label,[811 - 834],PRODUCT-NONE-SPC-OTHER-ORGANIZATION
ric-58766.txt,Johnny Walker Red Label,[811 - 834],LAW-NONE-SPC-OTHER-ORGANIZATION
ric-58766.txt,Johnny Walker Red Label,[811 - 834],ORGANIZATION-NONE-SPC-OTHER-ORGANIZATION
ric-58766.txt,24,[886 - 888],MEASURE-NONE-SPC-OTHER-MEASURE
ric-58766.txt,menos de 150 metros,[1032 - 1051],MEASURE-NONE-SPC-OTHER-MEASURE
ric-58766.txt,Carlitos,[1061 - 1069],GPE-NONE-SPC-FACILITY-GPE
ric-58766.txt,Carlitos,[1061 - 1069],ORGANIZATION-NONE-SPC-COMMERCIAL-ORGANIZATION
ric-58766.txt,"Rua Mem de Sá",[1073 - 1086],GPE-NONE-SPC-OTHER-GPE
ric-58766.txt,Red Label,[1106 - 1115],PRODUCT-NONE-SPC-OTHER-PRODUCT
ric-58766.txt,Red Label,[1106 - 1115],LAW-NONE-SPC-OTHER-PRODUCT
ric-58766.txt,Red Label,[1106 - 1115],ORGANIZATION-NONE-SPC-OTHER-PRODUCT
ric-58766.txt,Red Label,[1106 - 1115],PRODUCT-NONE-SPC-OTHER-LAW
ric-58766.txt,Red Label,[1106 - 1115],LAW-NONE-SPC-OTHER-LAW
ric-58766.txt,Red Label,[1106 - 1115],ORGANIZATION-NONE-SPC-OTHER-LAW
ric-58766.txt,Red Label,[1106 - 1115],PRODUCT-NONE-SPC-OTHER-ORGANIZATION
ric-58766.txt,Red Label,[1106 - 1115],LAW-NONE-SPC-OTHER-ORGANIZATION
